filename	scene_label
audio/shopping_mall-vienna-139-4245-a.wav	indoor
audio/airport-lyon-1095-42528-a.wav	indoor
audio/metro_station-vienna-86-2340-a.wav	indoor
audio/metro_station-lyon-1077-43207-a.wav	indoor
audio/shopping_mall-barcelona-127-3775-a.wav	indoor
audio/metro_station-lyon-1077-40350-a.wav	indoor
audio/metro_station-london-76-2116-a.wav	indoor
audio/airport-barcelona-1-28-a.wav	indoor
audio/metro_station-stockholm-84-2271-a.wav	indoor
audio/shopping_mall-stockholm-136-4138-a.wav	indoor
audio/shopping_mall-lisbon-1125-41357-a.wav	indoor
audio/airport-barcelona-2-98-a.wav	indoor
audio/airport-helsinki-3-168-a.wav	indoor
audio/shopping_mall-prague-1053-40935-a.wav	indoor
audio/airport-stockholm-11-472-a.wav	indoor
audio/metro_station-lyon-1077-40550-a.wav	indoor
audio/shopping_mall-vienna-138-4209-a.wav	indoor
audio/shopping_mall-vienna-138-4191-a.wav	indoor
audio/shopping_mall-barcelona-126-3756-a.wav	indoor
audio/airport-london-6-257-a.wav	indoor
audio/shopping_mall-stockholm-137-4172-a.wav	indoor
audio/shopping_mall-vienna-139-4226-a.wav	indoor
audio/metro_station-vienna-87-2375-a.wav	indoor
audio/shopping_mall-stockholm-135-4097-a.wav	indoor
audio/shopping_mall-prague-1031-40617-a.wav	indoor
audio/shopping_mall-barcelona-125-3716-a.wav	indoor
audio/airport-lisbon-1114-40861-a.wav	indoor
audio/shopping_mall-london-131-3945-a.wav	indoor
audio/shopping_mall-prague-1009-41865-a.wav	indoor
audio/shopping_mall-lyon-1066-42368-a.wav	indoor
audio/metro_station-london-74-2089-a.wav	indoor
audio/metro_station-vienna-88-2416-a.wav	indoor
audio/shopping_mall-prague-1031-40669-a.wav	indoor
audio/airport-london-5-246-a.wav	indoor
audio/metro_station-vienna-86-2335-a.wav	indoor
audio/shopping_mall-vienna-138-4185-a.wav	indoor
audio/airport-vienna-14-564-a.wav	indoor
audio/airport-vienna-13-534-a.wav	indoor
audio/metro_station-paris-82-2201-a.wav	indoor
audio/metro_station-lisbon-1007-40250-a.wav	indoor
audio/metro_station-london-72-2060-a.wav	indoor
audio/shopping_mall-lisbon-1137-42379-a.wav	indoor
audio/airport-helsinki-3-154-a.wav	indoor
audio/metro_station-vienna-86-2347-a.wav	indoor
audio/shopping_mall-helsinki-128-3837-a.wav	indoor
audio/metro_station-london-75-2097-a.wav	indoor
audio/metro_station-paris-79-2161-a.wav	indoor
audio/airport-paris-7-337-a.wav	indoor
audio/airport-lyon-1095-42528-a.wav	indoor
audio/metro_station-london-70-2042-a.wav	indoor
audio/airport-lyon-1101-42343-a.wav	indoor
audio/airport-lyon-1041-42257-a.wav	indoor
audio/airport-paris-8-363-a.wav	indoor
audio/airport-london-5-226-a.wav	indoor
audio/shopping_mall-lyon-1066-41459-a.wav	indoor
audio/metro_station-vienna-86-2341-a.wav	indoor
audio/shopping_mall-london-131-3958-a.wav	indoor
audio/metro_station-lyon-1028-40932-a.wav	indoor
audio/metro_station-paris-78-2139-a.wav	indoor
audio/airport-lyon-1101-42343-a.wav	indoor
audio/metro_station-barcelona-61-1847-a.wav	indoor
audio/airport-london-6-266-a.wav	indoor
audio/shopping_mall-paris-133-4018-a.wav	indoor
audio/shopping_mall-vienna-140-4279-a.wav	indoor
audio/airport-paris-8-355-a.wav	indoor
audio/shopping_mall-london-131-3920-a.wav	indoor
audio/airport-lisbon-1122-43364-a.wav	indoor
audio/metro_station-lisbon-1020-42283-a.wav	indoor
audio/metro_station-vienna-87-2370-a.wav	indoor
audio/shopping_mall-lisbon-1137-40785-a.wav	indoor
audio/shopping_mall-vienna-138-4204-a.wav	indoor
audio/airport-helsinki-3-153-a.wav	indoor
audio/metro_station-lyon-1010-43972-a.wav	indoor
audio/metro_station-lisbon-1021-40302-a.wav	indoor
audio/metro_station-stockholm-84-2281-a.wav	indoor
audio/shopping_mall-stockholm-137-4167-a.wav	indoor
